Mispelling,suggestion
acualy,actually
addres,address
adress,address
afect,affect
apeal,appeal
approch,approach
beacause,because
beaccause,because
beacouse,because
beacuse,because
becase,because
becouse,because
becuase,because
becuse,because
communacation,communication
conplete,complete
cintact,contact
dangher,danger
dided,died
dicussions,discussions
edcautional,educational
effcet,effect
egsample,example
favouate,favourite
freind,friend
freindly,friendly
freinds,friends
frenids,friends
fridnds,friends
goning,going
guyy,guy
harrased,harrassed
instagram,instagram
intresting,interesting
isuues,issues
laddy,lady
lonley,lonely
minipulate,manipulate
mabye,maybe
midia,media
michiel,michael
poeple,people
phiscal,physical
porly,poorly
posibly,possibly
petend,pretend
prtending,pretending
probaly,probably
raelistic,realistic
reall,really
relly,really
restrtictions,restrictions
rediculous,ridiculous
saftety,safety
saftey,safety
somthing,something
stoping,stopping
strangrs,strangers
talck,talk
trased,traced
trost,trust
tyring,trying
vioce,voice
whants,wants
whatch,watch
wirdo,weirdo
youself,yourself
